,count,lat,long,pop,pop/ex
476,3.0,16.0667,120.1,34149.0,11383.0
477,2.0,8.5833,124.7833,39378.0,19689.0
478,3.0,15.3333,120.9,73184.0,24394.666666666668
479,2.0,11.0,123.95,57557.0,28778.5
480,1.0,15.0933,120.8283,111586.0,111586.0
481,2.0,15.8524,120.3976,32959.0,16479.5
482,1.0,8.4042,124.2867,28422.0,28422.0
483,1.0,7.05,125.7333,104123.0,104123.0
484,2.0,8.61,124.8947,48906.0,24453.0
485,1.0,7.0833,124.9,79361.0,79361.0
486,3.0,6.1023,125.2868,80359.0,26786.333333333332
487,2.0,14.7222,120.5354,39880.0,19940.0
488,2.0,15.8899,120.2379,41463.0,20731.5
489,1.0,10.6747,122.3776,62706.0,62706.0
490,1.0,13.4585,123.6805,53120.0,53120.0
491,1.0,6.7,124.7333,41408.0,41408.0
492,4.0,10.8833,122.4833,58442.0,14610.5
493,1.0,8.5,124.3167,32370.0,32370.0
494,4.0,14.5586,121.2083,57755.0,14438.75
495,1.0,7.2333,124.25,95201.0,95201.0
496,2.0,11.05,122.4833,73640.0,36820.0
497,1.0,14.8333,120.5,65862.0,65862.0
498,3.0,15.8227,120.3295,50170.0,16723.333333333332
499,5.0,12.9333,123.6833,74564.0,14912.8
500,2.0,14.05,120.9,39444.0,19722.0
501,1.0,14.0167,120.7333,43743.0,43743.0
502,4.0,15.04,120.7919,54106.0,13526.5
503,1.0,13.5594,123.3761,45934.0,45934.0
504,1.0,13.75,122.1333,28188.0,28188.0
505,2.0,14.1728,120.9277,37649.0,18824.5
506,1.0,13.2925,123.7917,68906.0,68906.0
507,1.0,11.05,122.6667,45335.0,45335.0
508,1.0,11.3944,122.6858,32496.0,32496.0
509,2.0,14.5167,121.2667,69300.0,34650.0
510,1.0,17.9267,120.4754,31616.0,31616.0
511,3.0,17.5833,120.3833,35731.0,11910.333333333334
512,1.0,15.35,121.0,29882.0,29882.0
513,1.0,15.4333,120.05,34947.0,34947.0
514,1.0,17.685,120.4244,30792.0,30792.0
515,2.0,13.5167,123.05,49035.0,24517.5
516,1.0,13.2589,123.4953,67960.0,67960.0
517,1.0,9.9797,123.1999,30945.0,30945.0
518,1.0,11.2667,122.6833,46157.0,46157.0
519,2.0,14.4861,121.2289,49034.0,24517.0
520,1.0,11.5667,123.1333,68160.0,68160.0
521,1.0,6.9699,126.0126,41117.0,41117.0
